veh id,manufacturer,nameplate,model,CVCM class,EPA class,fleet type,fuel type,footprint,baseline price,baseline mpg,baseline sales,predicted mpg,incremental price,,,,,,,,,,,,,,,,,
101,GENERAL MOTORS,Chevrolet,Cobalt XFE,7,SUBCOMPACT CARS,C,G,44.8,19880,37.09,3377,39.18," $(4,210)",,,,,,,,,,,,,,,,,
102,GENERAL MOTORS,Chevrolet,Colorado 2WD,17,SMALL PICKUP TRUCKS,T,G,45.69829979,17277,24.40,27374,26.26, $(292),,,,,,,,,,,,,,,,,
103,GENERAL MOTORS,Chevrolet,Colorado 4WD,17,SMALL PICKUP TRUCKS,T,G,45.69829979,21494,22.81,10675,23.73," $(1,004)",,,,,,,,,,,,,,,,,
104,GENERAL MOTORS,Chevrolet,Colorado Cab Chassis INC 2WD,17,SMALL PICKUP TRUCKS,T,G,45.69829979,20224,19.41,178,21.78, $461 ,,,,,,,,,,,,,,,,,
105,GENERAL MOTORS,Chevrolet,Colorado Cab Chassis INC 4WD,17,SMALL PICKUP TRUCKS,T,G,45.69829979,23437,20.99,29,23.01, $348 ,,,,,,,,,,,,,,,,,
106,GENERAL MOTORS,Chevrolet,Colorado Crew Cab 2WD,17,SMALL PICKUP TRUCKS,T,G,45.69829979,22708,23.79,15231,25.13," $(1,765)",,,,,,,,,,,,,,,,,
107,GENERAL MOTORS,Chevrolet,Colorado Crew Cab 4WD,17,SMALL PICKUP TRUCKS,T,G,45.69829979,25602,20.99,13076,22.52," $(1,328)",,,,,,,,,,,,,,,,,
108,GENERAL MOTORS,Chevrolet,Corvette,1,TWO SEATERS,C,G,46.3,52242,22.98,32882,22.96," $3,362 ",,,,,,,,,,,,,,,,,
109,GENERAL MOTORS,Chevrolet,Equinox AWD,12,SUV,T,G,48.7,27740,24.79,35790,28.76," $(1,543)",,,,,,,,,,,,,,,,,
110,GENERAL MOTORS,Chevrolet,Equinox FWD,12,SUV,C,G,48.7,25630,25.63,53912,32.56," $(2,766)",,,,,,,,,,,,,,,,,
111,GENERAL MOTORS,Chevrolet,G1500/2500 Express 2WD,16,VANS,T,G,63.5,25925,17.46,1502,21.01, $(452),,,,,,,,,,,,,,,,,
112,GENERAL MOTORS,Chevrolet,G1500/2500 Express 2WD MDPV,16,VANS,T,G,63.5,27007,15.19,961,15.00," $5,308 ",,,,,,,,,,,,,,,,,
113,GENERAL MOTORS,Chevrolet,G1500/2500 Van CONV 2WD,16,VANS,T,G,63.5,25925,17.53,1103,18.35," $3,280 ",,,,,,,,,,,,,,,,,
114,GENERAL MOTORS,Chevrolet,H1500 Express AWD,16,VANS,T,G,63.5,29432,17.76,929,18.35," $1,048 ",,,,,,,,,,,,,,,,,
115,GENERAL MOTORS,Chevrolet,H1500 Van CONV AWD,16,VANS,T,G,63.5,29432,17.7589,331,18.36,272.9,,,,,,,,,,,,,,,,,
116,GENERAL MOTORS,Chevrolet,HHR FWD,13,SUV,C,G,42.5,18072,32.34816814,90025,32.46,872.6294274,,,,,,,,,,,,,,,,,
117,GENERAL MOTORS,Chevrolet,HHR Panel FWD,13,SUV,C,G,42.5,18032,32.54673931,9135,32.51,1034.182336,,,,,,,,,,,,,,,,,
118,GENERAL MOTORS,Chevrolet,Impala,10,LARGE CARS,C,G,47.1,23032,28.18492893,320116,28.95,1668.954492,,,,,,,,,,,,,,,,,
119,GENERAL MOTORS,Chevrolet,K15 Silverado 4WD 119WB,18,STANDARD PICKUP TRUCKS,T,G,55.9,30876,20.16531955,19817.66,18.88,-6544.050506,,,,,,,,,,,,,,,,,
120,GENERAL MOTORS,Chevrolet,K15 Silverado 4WD 133WB/134WB,18,STANDARD PICKUP TRUCKS,T,G,62.66678143,31842,20.21958209,38079,20.62,-7452.100142,,,,,,,,,,,,,,,,,
121,GENERAL MOTORS,Chevrolet,K15 Silverado 4WD 143WB,18,STANDARD PICKUP TRUCKS,T,G,67.4,32773,20.29497873,134964.9,21.38,-3297.823568,,,,,,,,,,,,,,,,,
122,GENERAL MOTORS,Chevrolet,K15 Silverado 4WD 157WB,18,STANDARD PICKUP TRUCKS,T,G,73.9,32775,20.39009213,3731.44,20.88,605.36,,,,,,,,,,,,,,,,,
123,GENERAL MOTORS,Chevrolet,K1500 Tahoe 4WD,11,SUV,T,G,54.4,40288,20.2962,55201,21.98,4692.04,,,,,,,,,,,,,,,,,
124,GENERAL MOTORS,Chevrolet,K1500 Tahoe Hybrid 4WD,11,SUV,T,G,54.4,54361,25.9934,2728,27.20,-835.9,,,,,,,,,,,,,,,,,
125,GENERAL MOTORS,Chevrolet,K2500 Suburban MDPV,11,SUV,T,G,60.7,42367,14.4,4407.017043,15.41,2515.084006,,,,,,,,,,,,,,,,,
126,GENERAL MOTORS,Chevrolet,Malibu,9,MIDSIZE CARS,C,G,46.9,22523,28.70434738,124301,32.30,-370.6124887,,,,,,,,,,,,,,,,,
